acquisition,threshold,acquired_mean,acquired_std,step_mean,step_std
bald,0.05,400.0,10.0,40.0,1.0
bald,0.1,266.6666666666667,49.32882862316247,26.666666666666668,4.932882862316248
variation,0.05,350.0,10.0,35.0,1.0
variation,0.1,176.66666666666666,45.09249752822894,17.666666666666668,4.509249752822894
entropy,0.05,473.3333333333333,49.32882862316247,47.333333333333336,4.932882862316248
entropy,0.1,253.33333333333334,15.275252316519468,25.333333333333332,1.5275252316519465
mean_std,0.05,366.6666666666667,50.33222956847167,36.666666666666664,5.033222956847167
mean_std,0.1,260.0,70.0,26.0,7.0
random,0.05,720.0,55.67764362830022,72.0,5.5677643628300215
random,0.1,253.33333333333334,11.547005383792515,25.333333333333332,1.1547005383792515